overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue/Orange'}",Tonya B.,great product and price!,Five Stars,1441324800,,
5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Black (37467610) / Red/White'}",Tonya B.,great product and price!,Five Stars,1441324800,,
5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue/Gray Logo'}",Tonya B.,great product and price!,Five Stars,1441324800,,
5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue (37867638-99) / Yellow'}",Tonya B.,great product and price!,Five Stars,1441324800,,
5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue/Pink'}",Tonya B.,great product and price!,Five Stars,1441324800,,
3.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' White/Black'}",NaeNae,waaay too small. will use for futur children!,Oops!,1430870400,,
5.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Blue/Orange'}",NaeNae,stays vibrant after many washes,Great,1430870400,,
5.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Blue (37867638-99) / Yellow'}",NaeNae,stays vibrant after many washes,Good,1430870400,,
5.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Blue/Pink'}",NaeNae,my son really likes the pink. ones which i was nervous about,Great,1430870400,,
3.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Light Blue/Red'}",NaeNae,waaay too small. will use for future child.,Oops!,1430870400,,
2.0,True,"01 25, 2018",A3HX4X3TIABWOV,B000KPIHQ4,"{'Size Name:': "" Men's 6-6.5, Women's 8-8.5"", 'Style:': ' Pinnacle'}",Denise A. Conte,relieved my plantar fascitis for 3 days. then the unbearable pain returned in full force. these were recommended by my podiatrist.,These were recommended by my Podiatrist,1516838400,,
