overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue/Orange'}",Tonya B.,great product price !,Five Stars,1441324800,,
5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Black (37467610) / Red/White'}",Tonya B.,great product price !,Five Stars,1441324800,,
5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue/Gray Logo'}",Tonya B.,great product price !,Five Stars,1441324800,,
5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue (37867638-99) / Yellow'}",Tonya B.,great product price !,Five Stars,1441324800,,
5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue/Pink'}",Tonya B.,great product price !,Five Stars,1441324800,,
3.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' White/Black'}",NaeNae,waaay small . use futur children !,Oops!,1430870400,,
5.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Blue/Orange'}",NaeNae,stays vibrant many washes,Great,1430870400,,
5.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Blue (37867638-99) / Yellow'}",NaeNae,stays vibrant many washes,Good,1430870400,,
5.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Blue/Pink'}",NaeNae,son really likes pink . ones nervous,Great,1430870400,,
3.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Light Blue/Red'}",NaeNae,waaay small . use future child .,Oops!,1430870400,,
2.0,True,"01 25, 2018",A3HX4X3TIABWOV,B000KPIHQ4,"{'Size Name:': "" Men's 6-6.5, Women's 8-8.5"", 'Style:': ' Pinnacle'}",Denise A. Conte,relieved plantar fascitis 3 days . unbearable pain returned full force . recommended podiatrist .,These were recommended by my Podiatrist,1516838400,,
2.0,True,"01 5, 2017",AW8UBYMNJ894V,B000KPIHQ4,"{'Size Name:': "" Men's 8-8.5, Women's 10-10.5"", 'Style:': ' Pinnacle'}",Cognizant Consumer,"6th pair best thing ever plantar fasciitis resultant neuromas . unfortunately , ones ordered smartdestination must seconds kill feet . hard plastic insert rubs outside edges feet . unable exchange waited one day late use walking shoes .",Not the same as all my other pairs.,1483574400,,
5.0,True,"10 17, 2016",A265UZVOZWTTXQ,B000KPIHQ4,,William_Jasper,used inserts years . provide great support .,Great inserts,1476662400,,
