textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),Text,Actual_Score,GPT 3.5 Score
6a2322cc3d," Kev, **** off! I`m stuck in Westgate working",", **** off! I`m stuck in",negative,morning,0-20,Papua New Guinea,8947024.0,452860.0,20.0,"kev , * * * * ! ` stuck westgate working",1,2.0
d9d99093c7,_A_Tx lol i havent watched it yet..  congrats!,congrats!,positive,morning,46-60,Ethiopia,114963588.0,1000000.0,115.0,_a_tx lol havent watched yet .. congrats !,4,3.0
0fe2f88a9e, Anytime,Anytime,neutral,noon,60-70,Libya,6871292.0,1759540.0,4.0,anytime,3,3.0
c708529aac," You are very, very good. Why didn`t I think of that?",good.,positive,morning,46-60,Ukraine,43733762.0,579320.0,75.0,", good . ` think ?",4,3.0
a539b25c95, mama the boys gon be sweating her hard in Pre K  lol muah,mama the boys gon be sweating her hard in Pre K  lol muah,neutral,night,31-45,Croatia,4105267.0,55960.0,73.0,mama boys gon sweating hard pre k lol muah,3,3.0
9846f47145," um that`s really scary, please be safe!  Btw ill be in orlando next week","um that`s really scary,",negative,morning,46-60,Qatar,2881053.0,11610.0,248.0,"um ` really scary , please safe ! btw ill orlando next week",1,2.0
4271448b42,i was kinda hoping this time it was going to be differnt... its not it just sucks !!!!!!!!!,its not it just sucks,negative,night,70-100,Bolivia,11673021.0,1083300.0,11.0,kinda hoping time going differnt ... sucks ! ! ! ! ! ! ! ! !,2,1.0
513627451f," yeaaaah lol, i`m just insane","yeaaaah lol, i`m just insane",neutral,noon,21-30,Slovakia,5459642.0,48088.0,114.0,"yeaaaah lol , ` insane",3,3.0
fb8c3f1e9d,Caps lost. ARGH! But HP game evening was much fun,Caps lost. ARGH! But HP game evening was much fun,neutral,morning,46-60,Norway,5421241.0,365000.0,15.0,caps lost . argh ! hp game evening much fun,3,3.0
255d4695a6,sorry for taking over twitter with my i-can`t-sleepness,sorry,negative,morning,0-20,Brunei,437479.0,5270.0,83.0,sorry taking twitter i-can ` t-sleepness,1,1.0
d8467800ee, I clicked on the Check out pictures of Angelina and it went to a spam site about ordering checks .. go figure,I clicked on the Check out pictures of Angelina and it went to a spam site about ordering checks .. go figure,neutral,noon,60-70,Dominican Republic,10847910.0,48300.0,225.0,clicked check pictures angelina went spam site ordering checks .. go figure,3,1.0
b9a498127e,"_augustine Yes, it is. Though not in coffee   So what`s your favorite brand?","_augustine Yes, it is. Though not in coffee   So what`s your favorite brand?",neutral,night,70-100,Chile,19116201.0,743532.0,26.0,"_augustine yes , . though coffee ` favorite brand ?",3,2.0
e74e47df4c,I Wish i was still in Cornwall - i miss my auntie`s dogs,i miss my auntie`s dogs,negative,noon,21-30,Togo,8278724.0,54390.0,152.0,wish still cornwall - miss auntie ` dogs,1,2.0
5dc1aaeac6,http://www.efteling.nl/ Today: Nothing but Efteling-fun !! Not too sure about that Python-rollercoaster-ride though,Nothing but Efteling-fun !!,positive,morning,46-60,Eritrea,3546421.0,101000.0,35.0,http : //www.efteling.nl/ today : nothing efteling-fun ! ! sure python-rollercoaster-ride though,4,2.0
a627477551,He`s off!,He`s off!,neutral,noon,21-30,Bhutan,771608.0,38100.0,20.0,` !,3,1.0
b140d77a59,Just watched the movie The Holiday. I had forgotten what a feel good movie it was!  Lovely evening.,feel good movie it was!  Lovely evening.,positive,morning,0-20,Central African Republic,4829767.0,622980.0,8.0,watched movie holiday . forgotten feel good movie ! lovely evening .,4,5.0
bf56ac2c48,Off to take a math quiz...on a friday....booo,Off to take a math quiz...on a friday....booo,neutral,night,31-45,Chile,19116201.0,743532.0,26.0,take math quiz ... friday .... booo,3,2.0
28e9ac4d78, I spoke but when niggas be looking at ya crazi all the time u just stop....  plus I always used to see yall when I just wanted,I spoke but when niggas be looking at ya crazi all the time u just stop....  plus I always used to see yall when I just wanted,neutral,morning,46-60,Norway,5421241.0,365000.0,15.0,spoke niggas looking ya crazi time u stop .... plus always used see yall wanted,3,1.0
5420b2f0a3,Going to see my grandad today  <3,Going to see my grandad today  <3,neutral,morning,0-20,Sri Lanka,21413249.0,62710.0,341.0,going see grandad today < 3,3,5.0
f6e6c24f35,happy to b home .. then my mind wanders an I can`t sleep,happy to b home,positive,noon,60-70,Cameroon,26545863.0,472710.0,56.0,happy b home .. mind wanders ` sleep,4,3.0
e84d69675c," It`s all over now...now I have to go talk to people in Melrose...cashier, registrar, etc. All those unfun places","It`s all over now...now I have to go talk to people in Melrose...cashier, registrar, etc. All those unfun places",neutral,noon,21-30,Malaysia,32365999.0,328550.0,99.0,"` ... go talk people melrose ... cashier , registrar , etc . unfun places",3,2.0
