score,Text
neutral,"according gran , company plans move production russia , although company growing ."
positive,new production plant company would increase capacity meet expected increase demand would improve use raw materials therefore increase production profitability .
positive,"last quarter 2010 , componenta 's net sales doubled eur131m eur76m period year earlier , moved zero pre-tax profit pre-tax loss eur7m ."
positive,"third quarter 2010 , net sales increased 5.2 % eur 205.5 mn , operating profit 34.9 % eur 23.5 mn ."
positive,operating profit rose eur 13.1 mn eur 8.7 mn corresponding period 2007 representing 7.7 % net sales .
positive,"operating profit totalled eur 21.1 mn , eur 18.6 mn 2007 , representing 9.7 % net sales ."
positive,teliasonera tlsn said offer line strategy increase ownership core business holdings would strengthen eesti telekom 's offering customers .
positive,"stora enso , norske skog , m-real , upm-kymmene credit suisse first boston ( cfsb ) raised fair value shares four largest nordic forestry groups ."
positive,"purchase agreement 7,200 tons gasoline delivery hamina terminal , finland , signed neste oil oyj average platts index september plus eight us dollars per month ."
positive,"finnish talentum reports operating profit increased eur 20.5 mn 2005 eur 9.3 mn 2004 , net sales totaled eur 103.3 mn , eur 96.4 mn ."
positive,"clothing retail chain sepp+ñl+ñ 's sales increased 8 % eur 155.2 mn , operating profit rose eur 31.1 mn eur 17.1 mn 2004 ."
positive,"consolidated net sales increased 16 % reach eur74 .8 , operating profit amounted eur0 .9 compared loss eur0 .7 prior year period ."
positive,"foundries division reports sales increased 9.7 % eur 63.1 mn eur 57.5 mn corresponding period 2006 , sales machine shop division increased 16.4 % eur 41.2 mn eur 35.4 mn corresponding period 2006 ."
positive,"helsinki ( afx ) - shares closed higher , led nokia announced plans team sanyo manufacture 3g handsets , nokian tyres fourth-quarter earnings report beat analysts ' expectations , dealers said ."
positive,"incap contract manufacturing services pvt ltd , subsidiary incap corporation finland , plans double revenues 2007-2008 ."
positive,"board directors propose dividend eur0 .12 per share 2010 , eur0 .08 per share paid 2009 ."
positive,"lifetree founded 2000 , revenues risen average 40 % margins late 30s ."
positive,"megafon 's subscriber base increased 16.1 % 2009 50.5 million users december 31 , market share number customers amounted 24 % late 2009 , 23 % late 2008 , according teliasonera estimates ."
positive,"net income life insurance doubled eur 6.8 mn eur 3.2 mn , net income non-life insurance rose eur 5.2 mn eur 1.5 mn corresponding period 2009 ."
positive,net sales increased eur193 .3 eur179 .9 pretax profit rose 34.2 % eur43 .1 m. ( eur1 = usd1 .4 )
positive,"net sales surged 18.5 % eur167 .8 m. teleste said eur20 .4 , 12.2 % , sales came acquisitions made 2009 ."
positive,nordea group 's operating profit increased 2010 18 percent year-on-year 3.64 billion euros total revenue 3 percent 9.33 billion euros .
positive,"operating profit nine-month period increased eur13 .6 , net sales increased eur394 .7 , compared corresponding period 2005 ."
positive,"operating profit nine-month period increased eur3 .1 net sales increased eur61 .5 , compared corresponding period 2007 ."
positive,"operating profit three-month period increased eur1 .2 , revenue increased eur20 .2 , compared corresponding period 2005 ."
positive,"company 's net profit rose 11.4 % year 82.2 million euros 2005 sales 686.5 million euros , 13.8 % year , company said earlier ."
positive,"lithuanian beer market made 14.41 million liters january , rise 0.8 percent year-earlier figure , lithuanian brewers ' association reporting citing results members ."
positive,"viking line 's cargo revenue increased 5.4 % eur 21.46 mn , cargo volume increased 2.4 % 70,116 cargo units ."
positive,"fair value property portfolio doubled result kapiteeli acquisition totalled eur 2,686.2 1,259.7 million ."
positive,10 february 2011 - finnish media company sanoma oyj hel : saa1v said yesterday 2010 net profit almost tripled eur297 .3 eur107 .1 2009 announced proposal raised payout .
positive,"helsinki : eliiv today reported eps eur1 .13 2009 , increase eps eur1 .12 2008 ."
positive,"aspo plc stock exchange release february 11 , 2011 at8 .45 a.m. esl shipping ltd , part aspo group , signed new , long-term contract rautaruukki corporation marine transport raw materials baltic sea ."
positive,"commission income increased 22 % eur 4.4 mn , lending volume rose 13.5 % ."
positive,"january , traffic , measured revenue passenger kilometres rpk , went 3.2 % capacity , measured available seat kilometres ask , rose 12.2 % ."
positive,"january-september 2010 , fiskars ' net profit went 14 % year-on-year eur 65.4 million net sales eur 525.3 million eur 487.7 million ."
positive,"net income life insurance rose eur 16.5 mn eur 14.0 mn , net income non-life insurance eur 22.6 mn eur 15.2 mn 2009 ."
positive,"nyrstar also agreed supply talvivaara 150,000 tonnes sulphuric acid per annum use talvivaara 's leaching process period supply zinc concentrate ."
positive,sales risen export markets .
positive,sales increased due growing market rates increased operations .
positive,agreement strengthens long-term partnership nokia siemens networks .
positive,company also estimates already carried investments lead increase net sales 2010 2009 reached eur 141.7 million .
positive,"company 's order book stood 1.5 bln euro $ 2.2 bln september 30 , 2007 , 24.2 pct year , international orders amounting 365 mln euro $ 534.3 mln ."
positive,"company said paper demand increased main markets , including publication papers , increased average paper prices 4 percent compared last year ."
positive,"world 's second largest stainless steel maker said net profit three-month period dec. 31 surged euro603 million us $ 781 million , euro3 .33 us $ 4.31 per share , euro172 million , euro0 .94 per share , previous year ."
positive,"seppala 's revenue increased 0.2 % eur10 .1 m. finland , revenue went 2.4 % eur6 .8 , sales abroad rose 6.2 % eur3 .3 m. sales increased baltic countries well russia ukraine ."
positive,"shares standard chartered ( stan ) rose 1.2 % ftse 100 , royal bank scotland ( rbs ) shares rose 2 % barclays shares ( barc ) ( bcs ) 1.7 % ."
positive,shares nokia corp. rose thursday cell phone maker said third-quarter earnings almost doubled share global handset market increased .
positive,"financial report , published friday , seb said net profit soared sek6 .745 bn 2010 year-earlier sek1 .114 bn proposed 50 % dividend increase sek1 .50 per share ."
neutral,"request finnish media company alma media 's newspapers , research manager jari kaivo-oja finland futures research centre turku school economics drawn future scenario finland 's national economy using model developed university denver ."
neutral,"sweden , gallerix accumulated sek denominated sales 1 % eur denominated sales 11 % ."
neutral,"investment place , atria plans expand moscow market ."
neutral,"june sold 30 percent stake nordstjernan , investment group taken option acquire eqt 's remaining shares ."
neutral,stock exchange announcement 20 july 2006 1 ( 1 ) basware share subscriptions warrants increase share capital total 119 850 shares subscribed basware warrant program .
neutral,new plant planned electricity generation capacity 350 megawatts ( mw ) heat generation capacity .
positive,"omx helsinki 25 index 0.92 pct 2,518.67 helsinki cap portfolio index 0.91 pct higher 4,711.19 ."
neutral,"maximum 666,104 new shares subscribed exercising b options 2004 stock option plan ."
neutral,"route helsinki finland tallinn estonia , cargo volumes increased 36 % , cargo volumes finland sweden fell 9 % ."
positive,"rinkuskiai raised sales 18.1 percent , 1.37 million liters , sales kauno alus grew 14.3 percent , 960,000 liters ."
neutral,tiimari operates 194 stores six countries -- including core finnish market -- generated turnover 76.5 mln eur 2005 .
positive,"combination services enabling us offer complex strengthened service chain limited baltic port connections also getting access world wide grimaldi network mediterranean , africa north america `` says uwe bakosch ."
positive,"company still expects turnover 2010 slightly increase level 2009 , adding `` market predictability still poor trustworthy forecasts market development contract manufacturing business current year `` ."
positive,acquisition considerably increase kemira 's sales market position russian metal industry coatings market .
positive,"january-september 2007 , finnlines ' net sales rose eur 505.4 mn eur 473.5 mn corresponding period 2006 ."
positive,"adjusted changes group structure , division 's net sales increased 1.7 % ."
positive,"`` change optimize operational efficiencies growing business , `` said julia prohaska , director marketing communications fiskars ."
positive,"4 february 2011 - finnish broadband data communication systems provider teleste oyj hel : tlt1v saw net profit jump eur2 .1 last quarter 2010 eur995 ,000 period 2009 ."
positive,finnish aktia group 's operating profit rose eur 17.5 mn first quarter 2010 eur 8.2 mn first quarter 2009 .
positive,finnish bank +àland 's consolidated net operating profit increased eur 4.8 mn first quarter 2005 eur 6.4 mn first quarter 2006 .
positive,"finnish financial group aktia reports operating profit eur 44.4 mn january-september 2009 , eur 37.3 mn corresponding period 2008 ."
positive,"finnish high technology provider vaahto group reports net sales eur 41.8 mn accounting period september 2007 - february 2008 , increase 11.2 % year earlier ."
positive,net sales finnish food industry company l+ñnnen tehtaat 's continuing operations increased 13 % 2008 eur 349.1 mn eur 309.6 mn 2007 .
positive,individual promotion also generated slightly higher-than-expected revenues .
positive,biohit already services many current genesis customers customer base expected expand result agreement .
positive,"operating profit turnover three-month period increased , respectively eur0 .9 eur8 .3 , compared corresponding period 2005 ."
positive,circulation revenue increased 5 % finland 4 % sweden 2008 .
positive,clothing chain sepp+ñl+ñ 's net sales increased 7.0 % eur 30.8 mn .
positive,construction volumes meanwhile grow rate 10-15 percent annually .
positive,finnish swedish construction markets still experiencing estimated 4 % annual growth 2008 .
positive,"however , biohit estimates total net sales continue grow 2009 , favourable trends net sales lead profit 2009 ."
positive,"2009 , fiskars ' cash flow operating activities amounted eur121m , eur97m previous year ."
positive,"lithuania , operating profit rose eur 190,000 eur 70,000 corresponding period 2005 ."
positive,"fourth quarter 2008 , net sales increased 2 % eur 1,050.7 mn eur 1,027.0 mn fourth quarter 2007 ."
positive,"international sales rose 59.8 % eur 1,244.4 mn ."
positive,net sales grew period x20ac 402 million $ 585us million x20ac 401 million 2006 .
positive,net sales increased eur655m april june 2010 eur438m year earlier .
positive,"net sales rose 25.5 % year-on-year eur59 .6 , number chargers delivered went 41 % 65.9 million pieces ."
positive,"net sales totaled eur 93.6 mn , eur 93.2 mn corresponding period 2005 ."
positive,operating profit increased 145.1 % eur 8.3 mn eur 3.4 mn .
positive,operating profit margin increased 11.2 % 11.7 % .
positive,operating profit rose eur 3.11 mn eur 1.22 mn corresponding period 2009 .
positive,operating profit rose eur 5mn eur 2.8 mn fourth quarter 2008 .
positive,"operating profit eur 24.5 mn , eur 23.0 mn ."
positive,"ramirent 's net sales second quarterended june 30 euro 128.7 million u.s. $ 163 million , 3.3-percent increase compared euro 124.6 million thesecond quarter last year ."
positive,"revenue grew 2 percent x20ac 580 million $ 743 million , x20ac 569 million ."
positive,ruukki announced signed agreement aker solutions norway supply 24 suction anchors september 2010 kalajoki unit finland .
positive,"ruukki 's delivery volumes selling prices showed favourable development company 's comparable net sales grew 50 % year-on-year eur647m , ceo sakari tamminen said ."
positive,sanoma magazines ' net sales estimated grow 2006 .
positive,bank forecasts finland 's gdp grow 2 % 2010 2011 .
positive,"company 's consolidated operating profit amounted eur 15.86 mn , eur 4.14 mn year-on-year ."
positive,department store division reported increase sales 4 per cent .
positive,fair value company 's investment properties grew eur 2.803 billion end march 2009 eur 2.691 million year ago .
positive,"last quarter best quarter 2009 net sales , operating margin rose 12.2 % ."
positive,"major breweries increased domestic beer sales 4.5 per cent last year , 256.88 million litres 245.92 million litres 2004 ."
positive,"transaction doubles tecnomens workforse , adds fourth net sales ."
positive,- operating profit rose 26.9 % eur 105.8 ( 83.4 ) million .
positive,"`` purchase , cramo become second largest rental services provider latvian market ."
positive,`` purchase operations part yit 's strategy expand offering building system services geographically . ``
positive,21 october 2010 - finnish fishing tackle company rapala vmc corp ( hel : rap1v ) said today net profit rose eur18 .9 first nine months 2010 eur15 .1 period year earlier .
positive,"according finnish metso minerals , value company 's orders gone eur 1.9 bn 12 months ."
positive,finnish aldata solution signed contract supply g.o.l.d . system two french retail chains .
positive,finnish bank +àland reports operating profit rose eur 21.3 mn second quarter 2009 eur 6.1 mn corresponding period 2008 .
positive,finnish financial group aktia 's operating profit 2009 increased eur 47.0 mn eur 6.6 mn 2008 .
positive,finnish forest machinery manufacturer ponsse 's net sales grew eur 51.3 mn first quarter 2010 eur 37.5 mn corresponding period 2009 .
positive,finnish kci konecranes raised net sales growth estimate 2006 25 % 35 % .
positive,finnish okmetic manufactures processes silicon wafers semiconductor sensor industries norwegian solar wafer company norsun signed contract okmetic supply norsun mono silicon crystals use solar cell manufacturing .
positive,finnish pharmaceuticals company orion 's net sales rose eur 190mn first quarter 2009 eur 180mn first quarter 2008 .
positive,"finnish ponsse signed agreement babcock africa distribution support ponsse forest machines , harvester heads , information systems south africa ."
positive,south african sappi become largest foreign forest industry company operating finland result acquisition finnish m-real corporation 's graphic papers business unit .
positive,according deputy md pekka silvennoinen aim double turnover next three years .
positive,"according hkscan finland , plan increase j+ñrvi-suomen portti 's net sales eur 80mn eur 100mn ."
positive,"advertising circulation revenues grew 3.4 % 0.4 % , respectively ."
positive,"takeover , cramo become second largest rental services provider latvian market ."
positive,", significant sales increase 18.6 % russia ."
positive,alma media expects net sales increase forecast previously .
positive,also lemmink+ñinen 's profit accounting period went eur 3.1 mn eur -24.5 mn year ago .
positive,"end march 2007 , group 's order book eur 39.6 mn , 42 % corresponding period 2006 ."
positive,"time profit company increased 10 % h1 reached ls 79,000 ."
positive,"operating profit net sales 12-month period increased , respectively eur10 .5 eur28 .8 , compared financial year 2004 ."
positive,"operating profit net sales 12-month period increased , respectively eur20 .8 eur177 .7 , compared financial year 2004 ."
positive,"operating profit net sales 12-month period increased , respectively eur21 .5 eur196 .1 , compared 2005 ."
positive,"operating profit net sales 12-month period increased , respectively eur4 .7 eur26 .7 , compared 2004 ."
positive,"operating profit net sales nine-month period increased , respectively 26.6 % 3.4 % , compared corresponding period 2006 ."
positive,"operating profit net sales six-month period increased , respectively , eur13 .8 eur143 .6 , compared corresponding period 2007 ."
positive,"operating profit net sales six-month period increased , respectively eur0 .4 eur3 .2 , compared corresponding period 2005 ."
positive,"operating profit net sales six-month period increased , respectively eur18 .1 eur127 .6 , compared corresponding period 2006 ."
positive,"operating profit net sales six-month period increased , respectively eur7 .5 eur655 .5 , compared corresponding period 2005 ."
positive,"operating profit net sales three-month period increased , respectively eur15 .1 eur131 .5 , compared corresponding period 2005 ."
positive,"operating profit net sales three-month period increased , respectively eur16 .0 eur139m , compared corresponding quarter 2006 ."
positive,"operating profit sales three-month period increased , respectively eur0 .3 eur13 .1 , compared corresponding period 2005 ."
